"distrito","ubigeo","poblacion_2026","electores","porcentaje_electoral"
"Alto Selva Alegre","040102",97900,67075,8.6
"Arequipa Cercado","040101",54201,69346,8.9
"Cayma","040103",118443,75875,9.8
"Cerro Colorado","040104",265275,138275,17.8
"José Luis Bustamante y Rivero","040129",85711,63042,8.1
"La Joya","040108",47244,25414,3.3
"Mariano Melgar","040109",71157,50090,6.4
"Miraflores","040110",70819,49194,6.3
"Paucarpata","040112",140086,108915,14
"Sachaca","040117",33198,24997,3.2
"Socabaya","040122",94168,52301,6.7
"Yanahuara","040126",28023,28286,3.6
"Yura","040128",50632,24238,3.1
