"ubigeo","distrito","poblacion_2026"
"040101","Arequipa",54201
"040102","Alto Selva Alegre",97900
"040103","Cayma",118443
"040104","Cerro Colorado",265275
"040105","Characato",20610
"040106","Chiguata",3433
"040107","Jacobo Hunter",56602
"040108","La Joya",47244
"040109","Mariano Melgar",71157
"040110","Miraflores",70819
"040111","Mollebaya",9201
"040112","Paucarpata",140086
"040113","Pocsi",416
"040114","Polobaya",647
"040115","Quequeña",9066
"040116","Sabandia",5113
"040117","Sachaca",33198
"040118","San Juan de Siguas",461
"040119","San Juan de Tarucani",1100
"040120","Santa Isabel de Siguas",548
"040121","Santa Rita de Siguas",9524
"040122","Socabaya",94168
"040123","Tiabaya",18164
"040124","Uchumayo",19748
"040125","Vitor",5736
"040126","Yanahuara",28023
"040127","Yarabamba",1851
"040128","Yura",50632
"040129","José Luis Bustamante y Rivero",85711
